source,target,prediction,pred_tensor
ine mothers fire,appro hale ph wor commit,the,"[2, 153, 3]"
th thank,flo,a,"[2, 69, 3]"
th icult ㅕ ep,multi Z chr,the,"[2, 153, 3]"
ma language Z inv,story pipe Z inv,a,"[2, 69, 3]"
th Z convers inn,ague convers pable beaches,a,"[2, 69, 3]"
ca ade shoot,eas,the,"[2, 153, 3]"
th Z ying,ist Z passe DefinedAs,a,"[2, 69, 3]"
IsA vote ^ * help,he rop bre ^ * help,a,"[2, 69, 3]"
glasses coming powder x “ usually zoo,“ stall,the,"[2, 153, 3]"
ou because mark,selves,a,"[2, 69, 3]"
