     1	O'Neill was the player most affected when Torre revised his starting lineup against right-handed pitchers last night by inserting left fielder Tim Raines as the leadoff batter , putting Darryl Strawberry in O'Neill 's third spot and in his right-field position and lowering Derek Jeter from first to seventh in the order .	has	O'Neill	third spot	1	1			
     2	In May 1994 , Mr. Allen , whose company had by then posted $ 8 million for the rights to Seoul , Bangkok , Kuala Lumpur and Taipei , Taiwan , failed to meet the next $ 2 million deadline .	had by	Mr. Allen company	then posted $ QUANT_O_1 for the rights to Bangkok	1	1			
     3	All minorities , including lower-caste Hindus , are discriminated against in recruitment by law-enforcement agencies .	is	lower-caste Hindus	All minorities	1	1			
     4	In recent years , demand for hybrid seeds has spurred research at a number of chemical and biotechnology companies , including Monsanto Co. , Shell Oil Co. and Eli Lilly & Co .	is including	a number of chemical and biotechnology companies	Eli Lilly & Co	1	1			
     5	Mr. Biden has said even if the committee was to divide evenly on a nomination , he would send the nomination on to the full Senate .	is	Biden	male	1	1			
     6	He either handles directly , or is involved in , areas like the competition committee , instant replay , youth football , N.F.L. Europe and the league 's attempt to reduce player concussions .	is	N.F.L. Europe	area	1	1			
     7	The Commissioner also urged President Jiang to meet with the Dalai Lama and asked for a review of the sentences of those arrested in connection with the 1989 pro-democracy protests in Tiananmen Square .	is	Jiang	President	1	1			
     8	Phillips could have punted , although a touchback would have pushed the Giants back only 16 yards .	have pushed the Giants	a touchback	back QUANT_O_1 yards	1	1			
     9	Remember that Mr. Nader , running as the Green Party nominee , cost Al Gore two states , Florida and New Hampshire , either of which would have given the vice president a victory in 2000 .	is	Al Gore	cost	1	1			
    10	But others argue that preserving neighborhood character is a goal that should supersede , or at least run parallel with , economics .	run	that a goal	parallel	1	1			
    11	During the 1730s Britain 's relationship with Spain had slowly declined .	had	Britain	relationship with Spain	During the 1730s	1	1		
    12	The savory courses are divided into three categories -- almost raw , barely touched and lightly cooked -- which underscore Le Bernardin 's sustained belief in the sacredness of piscine flesh .	has	Le Bernardin	sustained belief in the sacredness of piscine flesh	1	1			
    13	Byers does not oppose the concept of global citizenship , however he criticizes potential implications of the term depending on one 's definition of it , such as ones that provide support for the `` ruthlessly capitalist economic system that now dominates the planet . ''	criticizes	Byers	potential implications of the term depending on one 's definition of it	1	1			
    14	Apart from the Hamas communique , there was little immediate information on the suicide bombers , and the police have yet to identify the bombers from the July attack .	there was Apart from	little immediate information on the suicide bombers	the Hamas communique	1	1			
    15	A Duke alumna who joined the university 's board in 1996 , Melinda French Gates had a multi dimensional academic career herself , one that included undergraduate majors in both computer science and economics , a heavy smattering of art and literature courses and an M.B.A. , all earned in five years at Duke .	has	the university	board	1	1			
    16	`` We contacted the U.S. Navy Explosive Ordinance Team , and they went out to assess the situation , '' said Lieut. Eric Hultmark of the Coast Guard Group in Moriches .	is in	Coast Guard Group	Moriches	1	1			
    17	` Has to Get Control ' Mr. Giuliani said crime was the most important issue facing the city . ''	be facing	the most important issue	the city	1	1			
    18	He was a gifted writer , devoted teacher and compassionate physician who will be greatly missed .	be missed	compassionate physician	greatly	1	1			
    19	`` It does n't look like there will be a special session to me , '' said Assemblyman Sheldon Silver , a Manhattan Democrat , who is chairman of the Ways and Means Committee .	is	Assemblyman Sheldon Silver	a Manhattan Democrat	1	1			
    20	Goldman 's profit was driven yet again by investment banking and trading .	was driven yet by	Goldman 's profit	trading	1	1			
    21	Plenty of people still purchase bikes this way , but these days hundreds of thousands of cyclists behave like fussy stereophiles , piecing together their bikes using top-quality components made by custom manufacturers .	behave	hundreds of thousands of cyclists	piecing their bikes	1	1			
    22	A good stylist can earn enough to support her family , and by offering a means of economic independence -- as well as living examples of women bossing around men on a daily basis -- the beauty school is providing hope for students whose grace , strength and humor are nothing short of astounding . ''	has	students	grace	1	1			
    23	The move , which would make hybrids an option on half of the Ford , Lincoln and Mercury models , puts Ford in the best position to compete with Toyota and Honda in offering the technology .	be compete with Honda in	the best position	offering the technology	1	1			
    24	In 1918 , the municipality was renamed Jones in honor of American congressman William Jones , who authored the Philippine Autonomy Act of 1916 that provided for greater autonomy for the Philippines under American colonial rule .	was	William Jones	a congressman	of America	1	1		
    25	He 's in the Braves ' camp because he was impressive in a brief stint in the Puerto Rican winter league , and he 's in position to win a spot in the starting rotation because John Smoltz is recovering from elbow surgery . ''	has	the Braves	camp	1	1			
    26	While the infantry based part of the doctrine demanded `` powerful tanks '' and `` tankettes '' , the shock Army demanded `` manoeuvre tanks '' used in conjunction with motorized forces and `` mechanized cavalry '' that would operate in depth as `` strategic cavalry '' combined with nascent airborne troops .	would operate in depth as	`` manoeuvre tanks ''	`` strategic cavalry ''	1	1			
    27	Dr. Arthur Caplan , director of the center for bioethics at the University of Pennsylvania , said 	is	Arthur Caplan	Dr.	1	1			
    28	Three hours before security forces stormed the hospital , she said , one of the Thai soldiers , dressed like a patient , entered her ward and told her to turn off the lights , lock the door and lie on the floor . ''	entered	QUANT_S_1 of the Thai soldiers dressed like a patient	her ward	1	1			
    29	Also at the deYoung Museum , from June 21 to Oct. 19 , is '' To Honor the Ancestors 	is	Cloth	the Ancestors	1	1			
    30	Foreign investors are declining to finance Hungary's high budget and current account deficits, and the forint's weakness in recent months threatens hundreds of thousands of families who took out foreign currency mortgages.	threatens	the forint 's weakness	hundreds of thousands of families	1	1			
    31	But the board agreed in June 1995 to lease the property from the dance theater for 10 years 	agreed to lease the property $ QUANT_O_1 for	the board	the subsequent QUANT_O_2 years	1	1			
    32	`` I believe that no right - and fair-thinking person , considering all the facts and circumstances , will ever believe that Judge Sol Wachtler should do 12 seconds in any jail-type setting , '' Mr. Stillman said in an interview today .	is	Stillman	male	1	1			
    33	He fathered two children , Edna and Donald , and lived in Aberdeen until his death from tuberculosis in 1942 .	is	Edna	two children	1	1			
    34	Bruce Nauman , whose incantatory video environments recall Beckett 's sardonic vaudevilles , also knows this , as does Robert Gober , whose enigmatic and impeccably illusionistic tableaus exceed Mr. Wilson 's in their high-style surrealism .	exceed	Robert Gober	Mr. Wilson 's	1	1			
    35	He is largely focused on breaking up Garrincha's gang and is unaware of Thomas Barrett's intentions.	has	Garrincha	gang	1	1			
    36	THE Bold report recorded that the owners of a nearby single-room-occupancy dwelling had filed in April 1990 for a certificate of no harassment , `` opening up the possibility that the structure may be converted to a non-single-room use or be demolished . ''	be converted to	the structure	a non-single-room use	1	1			
    37	One analyst noted that Donnelly 's financial printing operation is so small a segment of its business that it is little more than a hobby for the giant .	has	Donnelly	financial printing operation	1	1			
    38	Nevertheless , Dr. Loveday , Dr. Schooley and other experts at the meeting said that many questions remained about when to begin prescribing the drug combination for individuals infected with H.I.V. , for how long the effect would last and how the AZT and 3TC combination compares with other drug combinations .	compares with	the AZT combination	other drug combinations	1	1			
    39	The advent of inpatient treatment programs for smokers has been hailed by Dr. Edward C. Senay of the University of Chicago as a '' welcome and necessary addition to the existing technologies used to deal with the problem of nicotine addiction . ''	has been hailed by Dr. Edward C. Senay of	The advent of inpatient treatment programs for smokers	the University of Chicago	1	1			
    40	Getting it back on an even keel by 1997 is important to the Government because overall deficit spending must be reduced to a predetermined level by then if France is to qualify to join a common European currency under the terms of the 1992 Treaty on European Union .	is to qualify to join	France	a common European currency under the terms of the 1992 Treaty on European Union	1	1			
    41	Their Oxbridge literary sensibilities were generally keen .	were	Their Oxbridge literary sensibilities	keen	1	1			
    42	In 1954, the committee presented a $100 million improvement plan and obtained legislation to set up a nondividend paying corporation to borrow the funds to create a new Aqueduct and to improve Belmont and Saratoga race tracks.	obtained	the committee	legislation to set up a nondividend paying corporation to borrow the funds to create a new Aqueduct and to improve Belmont and Saratoga race tracks In 1954	1	1			
    43	Even as those stocks slumped , smaller stocks rallied , pushing the Russell and Nasdaq to records .	rallied	smaller stocks	pushing the Russell and Nasdaq	1	1			
    44	Brian Harvey -LRB- 3-3 -RRB- replaced Minton and was greeted by Presley 's home run .	is	Brian Harvey	QUANT_O_1	1	1			
    45	The fair will be open to the public on Saturday and next Sunday .	be next Sunday to	The fair	the public	1	1			
    46	These skills were readily proven when squadrons and personnel were mobilized and recalled back to active duty during the Korean War and the Berlin Crisis .	were readily proven when	These skills	personnel were mobilized and recalled back to active duty	during the Berlin Crisis	1	1		
    47	If the measurements are right , however , ordinary matter , the stuff stars and planets and people are made of , is an even scarcer commodity in the universe than had been estimated .	are made of	the stuff stars	ordinary matter	1	1			
    48	`` And what is true for Brazil is true for any other country in the dollar zone .	is	what is true for Brazil	true	1	1			
    49	Senator Hugh T. Farley Jr. , Republican of Schenectady , chairman of the Senate Banking Committee and the bill 's Senate sponsor , said jobs were the prime force behind the measure .	is Republican of	Senator Hugh T. Farley Jr.	Schenectady	1	1			
    50	Over the years , the lure of a vacation at the beach has been especially strong among 20-year-olds , and high school students whose visits are often their first unsupervised vacation .	has been especially	the lure of a vacation at the beach	high school students	1	1			
    51	Mr. Bruton , who has been Prime Minister of Ireland since December 1994 , said the vote would probably be held on June 6 .	be held on	the vote	June 6	1	1			
