source,target,prediction,pred_tensor
DefinedAs obesity will,next American ep ide mic,same thing,"[2, 2346, 215, 3]"
UsedFor mouse,surf,computer,"[2, 506, 3]"
shut those roads in the forest service,the winter,the,"[2, 119, 3]"
AtLocation storage pan,garage,cabinet,"[2, 1532, 3]"
AtLocation menu,in restaurant,restaurant,"[2, 559, 3]"
ReceivesAction one object,attached to another,make to be,"[2, 325, 123, 112, 3]"
UsedFor take bus,ride to school,travel,"[2, 734, 3]"
could be the buy ers,foreign concerns,a,"[2, 62, 3]"
HasFirstSubevent jog,stretch,put on your,"[2, 653, 94, 198, 3]"
IsA swim and walk,common mode of loc om ot ion,two type of exercise,"[2, 969, 656, 136, 811, 3]"
