source,target,prediction,pred_tensor
ine mothers fire,appro hale ph wor commit,the main,"[2, 153, 1034, 3]"
th thank,flo,a,"[2, 69, 3]"
th icult ㅕ ep,multi Z chr,to the,"[2, 159, 153, 3]"
ma language Z inv,story pipe Z inv,a,"[2, 69, 3]"
th Z convers inn,ague convers pable beaches,the,"[2, 153, 3]"
ca ade shoot,eas,the,"[2, 153, 3]"
th Z ying,ist Z passe DefinedAs,the,"[2, 153, 3]"
vote ^ * help,he rop bre ^ * help,a,"[2, 69, 3]"
x “ usually zoo,“ stall,in,"[2, 128, 3]"
ou because mark,selves,male,"[2, 854, 3]"
