source,target,prediction,pred_tensor
ine mothers fire,appro hale ph wor commit,the,"[2, 153, 3]"
th thank,flo,their,"[2, 507, 3]"
th icult ㅕ ep,multi Z chr,a,"[2, 69, 3]"
ma language Z inv,story pipe Z inv,the,"[2, 153, 3]"
th Z convers inn,ague convers pable beaches,the,"[2, 153, 3]"
ca ade shoot,eas,the,"[2, 153, 3]"
th Z ying,ist Z passe DefinedAs,the,"[2, 153, 3]"
IsA vote ^ * help,he rop bre ^ * help,a,"[2, 69, 3]"
glasses coming powder x “ usually zoo,“ stall,the QUANT_O_1,"[2, 153, 687, 3]"
ou because mark,selves,the,"[2, 153, 3]"
